Name,Roughness,Thickness,Conductivity,Density,Specific_Heat,Thermal_Absorptance,Solar_Absorptance,Visible_Absorptance,Notes
10mm_carpet,Rough,0.01,0.058,20.0,1000.0,0.9,0.5,0.5,
25mm_gypsum_plasterboard,Rough,0.025,0.25,900.0,1000.0,0.9,0.5,0.5,
105mm_brick_outer_leaf,Rough,0.105,0.77,1700.0,840.0,0.9,0.7,0.7,
140mm_min_wool_quilt,Rough,0.14,0.04,12.0,1030.0,0.9,0.6,0.6,
100mm_min_wool_quilt,Rough,0.1,0.04,12.0,1030.0,0.9,0.6,0.6,
75mm_min_wool_quilt,Rough,0.075,0.04,12.0,1030.0,0.9,0.6,0.6,
50mm_min_wool_quilt,Rough,0.05,0.04,12.0,1030.0,0.9,0.6,0.6,
100mm_concrete_1800,Rough,0.1,1.13,1800.0,1000.0,0.9,0.6,0.6,
13mm_plasterboard_wallboard,Rough,0.013,0.21,900.0,1000.0,0.9,0.6,0.6,
25mm_stone_chippings,Rough,0.025,2.0,2000.0,1000.0,0.9,0.5,0.5,
150mm_concrete_dense,Rough,0.15,1.93,2400.0,1000.0,0.9,0.6,0.6,
40mm_flooring_screed,Rough,0.04,0.41,1200.0,1000.0,0.9,0.73,0.73,
19mm_asphalt,Rough,0.019,0.7,2100.0,1000.0,0.9,0.85,0.85,
240mm_mineral_wool_dense,Rough,0.24,0.036,50.0,1030.0,0.9,0.6,0.6,
200mm_mineral_wool_dense,Rough,0.2,0.036,50.0,1030.0,0.9,0.6,0.6,
100mm_mineral_wool_dense,Rough,0.1,0.036,50.0,1030.0,0.9,0.6,0.6,
70mm_mineral_wool_dense,Rough,0.07,0.036,50.0,1030.0,0.9,0.6,0.6,
750mm_clay_underfloor,Rough,0.75,1.5,1500.0,2085.0,0.9,0.6,0.6,
25mm_brick_slips,Rough,0.025,0.77,1700.0,1000.0,0.9,0.7,0.7,
100mm_cast_concrete,Rough,0.1,1.35,2000.0,1000.0,0.9,0.6,0.6,
240mm_eps,Rough,0.24,0.04,15.0,1300.0,0.9,0.6,0.6,
120mm_eps,Rough,0.12,0.04,15.0,1300.0,0.9,0.6,0.6,
80mm_eps,Rough,0.08,0.04,15.0,1300.0,0.9,0.6,0.6,
10mm_eps,Rough,0.01,0.04,15.0,1300.0,0.9,0.6,0.6,
50mm_flooring_screed,Rough,0.05,0.41,1200.0,1000.0,0.9,0.73,0.73,